gysz;Megrendelésszám;Gyáriszám;Megnevezés ;Cikkszám;GYÉv
823440;4570000557;1200823440;G4_FLOG_RF1_MEMB_05;G00018;2012
823471;4570000557;1200823471;G4_FLOG_RF1_MEMB_05;G00018;2012
823482;4570000557;1200823482;G4_FLOG_RF1_MEMB_05;G00018;2012
823483;4570000557;1200823483;G4_FLOG_RF1_MEMB_05;G00018;2012
823495;4570000557;1200823495;G4_FLOG_RF1_MEMB_05;G00018;2012
823511;4570000557;1200823511;G4_FLOG_RF1_MEMB_05;G00018;2012
823527;4570000557;1200823527;G4_FLOG_RF1_MEMB_05;G00018;2012
823722;4570000557;1200823722;G4_FLOG_RF1_MEMB_05;G00018;2012
823747;4570000557;1200823747;G4_FLOG_RF1_MEMB_05;G00018;2012
823757;4570000557;1200823757;G4_FLOG_RF1_MEMB_05;G00018;2012
823771;4570000557;1200823771;G4_FLOG_RF1_MEMB_05;G00018;2012
823777;4570000557;1200823777;G4_FLOG_RF1_MEMB_05;G00018;2012
823785;4570000557;1200823785;G4_FLOG_RF1_MEMB_05;G00018;2012
823786;4570000557;1200823786;G4_FLOG_RF1_MEMB_05;G00018;2012
823804;4570000557;1200823804;G4_FLOG_RF1_MEMB_05;G00018;2012
823819;4570000557;1200823819;G4_FLOG_RF1_MEMB_05;G00018;2012
823821;4570000557;1200823821;G4_FLOG_RF1_MEMB_05;G00018;2012
823830;4570000557;1200823830;G4_FLOG_RF1_MEMB_05;G00018;2012
823842;4570000557;1200823842;G4_FLOG_RF1_MEMB_05;G00018;2012
823843;4570000557;1200823843;G4_FLOG_RF1_MEMB_05;G00018;2012
823986;4570000557;1200823986;G4_FLOG_RF1_MEMB_05;G00018;2012
824316;4570000557;1200824316;G4_FLOG_RF1_MEMB_05;G00018;2012
824452;4570000557;1200824452;G4_FLOG_RF1_MEMB_05;G00018;2012
824809;4570000557;1200824809;G4_FLOG_RF1_MEMB_05;G00018;2012
824828;4570000557;1200824828;G4_FLOG_RF1_MEMB_05;G00018;2012
826557;4570000557;1200826557;G4_FLOG_RF1_MEMB_05;G00018;2012
826587;4570000557;1200826587;G4_FLOG_RF1_MEMB_05;G00018;2012
826716;4570000557;1200826716;G4_FLOG_RF1_MEMB_05;G00018;2012
826941;4570000557;1200826941;G4_FLOG_RF1_MEMB_05;G00018;2012
826947;4570000557;1200826947;G4_FLOG_RF1_MEMB_05;G00018;2012
827004;4570000557;1200827004;G4_FLOG_RF1_MEMB_05;G00018;2012
827006;4570000557;1200827006;G4_FLOG_RF1_MEMB_05;G00018;2012
827175;4570000557;1200827175;G4_FLOG_RF1_MEMB_05;G00018;2012
828747;4570000557;1200828747;G4_FLOG_RF1_MEMB_05;G00018;2012
